Word,Count
*,142
the,67
,51
to,35
a,33
of,27
input,25
for,22
@param,17
@return,15
is,15
transition,14
and,13
state,13
Returns,12
The,12
automaton,11
//////////////////////////////////////////////////////////////////////////////////,11
This,11
given,10
symbol,10
sequence,9
Algorithm,9
be,9
Configuration,9
with,8
new,8
Rooijen,7
Hamann,7
label,7
alphabet,7
@author,7
wever,7
model,6
used,6
array,6
Van,6
that,6
mutate,6
all,6
target,5
whether,5
sequences,5
if,5
matrix,5
create,5
int,5
in,5
no,5
DFA,5
states,5
algorithm,5
function,5
shall,4
value,4
starting,4
table,4
labels,4
set,4
on,4
from,4
Active,4
number,4
flip,4
register,4
map,4
inputs,4
according,4
MOEA,4
length,4
selection,3
END,3
NSGA-II,3
nodes,3
archive,3
init,3
variation,3
Input,3
evolve,3
into,3
Lipson,3
string,3
identifier,3
method,3
factory,3
START,3
returns,3
check,3
asynchronous,3
class,3
Setup,3
Bongard,3
unique,3
Creates,3
tests,3
operators,3
only,3
representing,3
graph,3
not,3
an,3
current,3
config,3
initial,3
pTransitionMap,2
read,2
labeled,2
sleep,2
objectives,2
generated,2
respective,2
one,2
InterruptedException,2
randomly,2
methods,2
decide,2
drawn,2
Evaluation,2
object,2
oracle,2
data,2
property,2
needed,2
since,2
add,2
represents,2
request,2
look-up,2
=,2
Converts,2
next,2
distinct,2
can,2
Comparison,2
Do,2
Run,2
have,2
edges,2
transitions,2
by,2
Cycle,2
setup,2
delivery,2
are,2
process,2
Look-up,2
AVRH,2
=>,2
Parallelism,2
run,2
its,2
we,2
Auto-generated,2
@throws,2
algorithms,2
pInputSequence,2
coin,2
Multi-dimensional,2
events,2
event,2
Configuraiton,2
trace,2
wait,2
thread,2
puts,2
V4,2
only),2
Simulated,2
as,2
this,2
pTransitionMatrix,2
bus,2
BL,2
list,2
(for,2
or,2
Combined,2
there,2
draws,1
exemplary,1
NONE,1
challengers,1
2,1
reachable,1
Wrapper,1
created,1
blockingQueue,1
unreachable,1
automaton's,1
Number,1
binary,1
problem,1
change,1
Instances,1
configuration,1
\then,\,1
Each,1
DeterministicFiniteAutomaton,1
containing,1
need,1
\sb.append("\,\,1
sort,1
String,1
route,1
automata,1
accepting,1
Sequence,1
pState,1
computed,1
load,1
generates,1
InputFactory,1
then,1
visualize,1
every,1
removed,1
wrt,1
which,1
resulting,1
Create,1
LinkedBlockingQueue<Runnable>();,1
candidate,1
reading,1
consistent,1
step-wise,1
themselves,1
allows,1
van,1
Graph,1
extending,1
initialized,1
pNumberOfStates,1
behavior,1
\0L,\,1
best,1
same,1
symbols,1
classifying,1
sysout,1
LinkedList,1
\this.config.maxThreads(),\,1
defines,1
outputs,1
EA's,1
block,1
call,1
pInputValue,1
nothing,1
multi-dimensional,1
Read,1
produces,1
sample,1
pAlphabet,1
stated,1
Checks,1
delta,1
converted,1
explicitly,1
classification,1
example,1
UID,1
targetModel,1
Learner,1
training,1
has,1
configuraiton,1
id,1
V2,1
validators,1
XXX,1
Executes,1
prefixes,1
serial,1
creation,1
search,1
before,1
implied,1
\Initially,\,1
\modelGraph,\,1
cycle,1
properties,1
learning,1
collects,1
initialize,1
yet,1
avg,1
bucket,1
Computes,1
edge,1
learn,1
found,1
sampleList);,1
contained,1
V1,1
specified,1
&,1
catch,1
get,1
LinkedBlockingQueue<Runnable>,1
much,1
true,1
could,1
evaluation,1
respect,1
generations,1
AsyncEventBus(new,1
do,1
been,1
State,1
hook,1
\testGraph,\,1
actions,1
matching,1
learners,1
TODO,1
seed,1
done,1
\ThreadPoolExecutor(this.config.minThreads(),\,1
version,1
remove,1
pStartingState,1
minimized,1
iff,1
via,1
es,1
numberOfSequences,1
obtain,1
enum,1
[vRH16],1
pTransitionArray,1
\so,\,1
intentionally,1
Double-check,1
file,1
cache,1
inferred,1
\this.printTeXFiles(mainTeXDoc,\,1
InputSequences,1
UNKNOWN,1
\TimeUnit.MILLISECONDS,\,1
statistical,1
Implicitly,1
executed,1
Compute,1
parameters,1
results,1
PRG,1
mapped,1
\"\);\,1
Generated,1
this.eventBus,1
factory-wide,1
Execute,1
EventBus,1
INITIAL_STATE,1
Represents,1
parallelism,1
report,1
final,1
blockingQueue));,1
possible,1
amount,1
rejecting,1
Serial,1
graphstream,1
